t_s,CH1,CH2,CH3,CH4
0.0,118.91,675.31,3.187,44.758
0.5,119.679,643.648,3.148,45.39
1.0,119.387,637.719,3.249,46.557
1.5,118.479,653.233,3.269,45.047
2.0,118.559,651.375,3.213,45.654
2.5,119.053,682.978,3.246,43.762
3.0,122.102,654.541,3.201,44.038
3.5,119.934,665.086,3.213,47.411
4.0,124.909,655.227,3.197,45.299
4.5,123.325,659.815,3.229,47.295
5.0,122.778,653.249,3.236,46.552
5.5,125.518,680.442,3.299,46.682
6.0,122.667,688.549,3.267,46.21
6.5,129.704,677.261,3.303,46.279
7.0,125.272,673.962,3.36,47.878
7.5,125.808,669.464,3.256,47.487
8.0,127.921,684.114,3.334,45.453
8.5,126.682,682.923,3.452,47.726
9.0,125.681,673.105,3.375,48.552
9.5,125.057,682.005,3.431,48.076
10.0,127.318,681.364,3.435,46.951
10.5,122.694,693.326,3.322,47.308
11.0,125.395,694.688,3.222,47.475
11.5,126.788,780.932,3.361,46.199
12.0,129.725,771.911,3.34,47.901
12.5,130.012,689.763,3.376,48.824
13.0,125.429,678.474,3.41,47.228
13.5,122.641,678.884,3.373,48.669
14.0,125.236,680.989,3.338,46.526
14.5,127.399,672.236,3.344,47.506
15.0,125.615,681.73,3.355,47.419
15.5,128.983,662.31,3.39,48.603
16.0,128.821,685.243,3.428,48.406
16.5,122.582,677.912,3.333,48.215
17.0,119.809,670.452,3.299,47.192
17.5,126.324,670.621,3.327,48.365
18.0,123.189,687.863,3.325,47.361
18.5,123.898,696.543,3.379,47.651
19.0,123.341,673.594,3.268,49.028
19.5,126.297,647.288,3.255,47.251
20.0,124.486,654.275,3.317,32.85
20.5,124.53,682.277,3.351,45.963
21.0,123.382,691.988,3.219,45.887
21.5,124.704,678.47,3.352,47.646
22.0,121.137,660.686,3.327,47.804
22.5,119.749,662.82,3.356,46.683
23.0,121.994,660.802,3.285,46.072
23.5,122.511,679.527,3.254,46.399
24.0,120.793,670.19,3.245,46.758
24.5,120.086,654.525,3.173,46.603
25.0,117.489,648.871,3.294,45.166
25.5,119.073,658.246,3.242,44.435
26.0,117.932,632.347,3.287,46.122
26.5,121.307,640.013,3.219,45.431
27.0,119.983,646.665,3.219,45.99
27.5,119.014,627.023,3.145,45.304
28.0,117.032,638.076,3.123,44.392
28.5,118.014,768.056,3.186,42.76
29.0,118.704,660.134,3.144,44.255
29.5,117.085,619.896,3.186,43.674
30.0,117.91,612.646,3.135,43.097
30.5,120.196,608.885,3.034,44.507
31.0,117.838,643.424,3.077,44.044
31.5,118.293,632.489,3.032,43.324
32.0,117.498,633.769,3.176,42.896
32.5,111.921,616.378,3.026,42.159
33.0,115.425,635.385,3.079,42.803
33.5,109.961,635.68,3.132,42.658
34.0,114.901,621.279,3.131,43.053
34.5,114.191,608.493,3.146,41.783
35.0,117.076,621.512,3.156,42.072
35.5,113.06,595.21,2.986,43.577
36.0,111.127,616.127,3.024,44.095
36.5,114.34,631.726,3.04,41.723
37.0,117.619,609.937,3.042,41.825
37.5,120.444,603.362,3.01,42.711
38.0,117.596,608.875,3.12,42.272
38.5,114.773,619.402,2.992,41.763
39.0,119.081,622.654,3.005,42.237
39.5,110.861,596.686,2.996,41.427
40.0,114.929,612.438,3.017,40.912
40.5,112.926,620.935,3.082,41.919
41.0,111.758,624.529,3.125,41.219
41.5,112.831,631.228,3.096,43.844
42.0,117.002,593.614,3.082,43.398
42.5,116.25,621.99,3.107,44.91
43.0,112.601,596.166,3.113,42.504
43.5,114.353,592.026,3.022,43.171
44.0,113.473,625.775,2.946,32.038
44.5,116.272,614.933,3.112,32.945
45.0,115.424,604.323,3.08,43.677
45.5,113.878,618.647,3.107,44.538
46.0,119.383,629.419,3.075,44.102
46.5,114.428,641.912,3.161,43.428
47.0,114.171,632.808,3.161,43.011
47.5,113.423,622.978,3.049,43.07
48.0,117.973,650.648,3.02,43.216
48.5,121.882,647.673,3.061,43.497
49.0,116.316,629.285,3.144,43.182
49.5,116.503,636.787,3.156,43.466
50.0,115.181,639.325,3.231,44.276
